BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
32740	Q  	Adv[+WA] O3[+WH] P O2 O1 Verb Never Aux S ka      	
32742	Q  	Adv[+WA] O3[+WH] P Verb Never Aux S ka            	
32816	Q  	Adv[+WA] O1[+WH] Verb Aux S ka                    	
32818	Q  	Adv[+WA] O2 O1[+WH] Verb Aux S ka                 	
32820	Q  	Adv[+WA] O2[+WH] O1 Verb Aux S ka                 	
32822	Q  	Adv[+WA] O3 P O1[+WH] Verb Aux S ka               	
32824	Q  	Adv[+WA] O3 P O2 O1[+WH] Verb Aux S ka            	
32826	Q  	Adv[+WA] O3 P O2[+WH] O1 Verb Aux S ka            	
32828	Q  	Adv[+WA] O3[+WH] P O1 Verb Aux S ka               	
32830	Q  	Adv[+WA] O3[+WH] P O2 O1 Verb Aux S ka            	
32832	Q  	Adv[+WA] O3[+WH] P Verb Aux S ka                  	
32900	Q  	Adv[+WA] O1 Verb Not Aux S[+WH] ka                	
32901	Q  	Adv[+WA] O2 O1 Verb Not Aux S[+WH] ka             	
32902	Q  	Adv[+WA] O3 P O1 Verb Not Aux S[+WH] ka           	
32903	Q  	Adv[+WA] O3 P O2 O1 Verb Not Aux S[+WH] ka        	
32904	Q  	Adv[+WA] O3 P Verb Not Aux S[+WH] ka              	
32905	Q  	Adv[+WA] Verb Not Aux S[+WH] ka                   	
32906	Q  	Adv[+WA] O1 Verb Never Aux S[+WH] ka              	
32907	Q  	Adv[+WA] O2 O1 Verb Never Aux S[+WH] ka           	
32908	Q  	Adv[+WA] O3 P O1 Verb Never Aux S[+WH] ka         	
32909	Q  	Adv[+WA] O3 P O2 O1 Verb Never Aux S[+WH] ka      	
32910	Q  	Adv[+WA] O3 P Verb Never Aux S[+WH] ka            	
32911	Q  	Adv[+WA] Verb Never Aux S[+WH] ka                 	
32936	Q  	Adv[+WA] O1 Verb Aux S[+WH] ka                    	
32937	Q  	Adv[+WA] O2 O1 Verb Aux S[+WH] ka                 	
32938	Q  	Adv[+WA] O3 P O1 Verb Aux S[+WH] ka               	
32939	Q  	Adv[+WA] O3 P O2 O1 Verb Aux S[+WH] ka            	
32940	Q  	Adv[+WA] O3 P Verb Aux S[+WH] ka                  	
32941	Q  	Adv[+WA] Verb Aux S[+WH] ka                       	
34484	Q  	Adv[+WH][+WA] O1 Verb Not Aux S ka                	
34486	Q  	Adv[+WH][+WA] O2 O1 Verb Not Aux S ka             	
34488	Q  	Adv[+WH][+WA] O3 P O1 Verb Not Aux S ka           	
34490	Q  	Adv[+WH][+WA] O3 P O2 O1 Verb Not Aux S ka        	
34492	Q  	Adv[+WH][+WA] O3 P Verb Not Aux S ka              	
34494	Q  	Adv[+WH][+WA] Verb Not Aux S ka                   	
34496	Q  	Adv[+WH][+WA] O1 Verb Never Aux S ka              	
34498	Q  	Adv[+WH][+WA] O2 O1 Verb Never Aux S ka           	
34500	Q  	Adv[+WH][+WA] O3 P O1 Verb Never Aux S ka         	
34502	Q  	Adv[+WH][+WA] O3 P O2 O1 Verb Never Aux S ka      	
34504	Q  	Adv[+WH][+WA] O3 P Verb Never Aux S ka            	
34506	Q  	Adv[+WH][+WA] Verb Never Aux S ka                 	
34556	Q  	Adv[+WH][+WA] O1 Verb Aux S ka                    	
34558	Q  	Adv[+WH][+WA] O2 O1 Verb Aux S ka                 	
34560	Q  	Adv[+WH][+WA] O3 P O1 Verb Aux S ka               	
34562	Q  	Adv[+WH][+WA] O3 P O2 O1 Verb Aux S ka            	
34564	Q  	Adv[+WH][+WA] O3 P Verb Aux S ka                  	
34566	Q  	Adv[+WH][+WA] Verb Aux S ka                       	
44532	Q  	O1[+WA] Adv O2[+WH] Verb Not Aux S ka             	
44534	Q  	O1[+WA] Adv O3 P O2[+WH] Verb Not Aux S ka        	
44536	Q  	O1[+WA] Adv O3[+WH] P Verb Not Aux S ka           	
44538	Q  	O1[+WA] Adv O3[+WH] P O2 Verb Not Aux S ka        	
44540	Q  	O1[+WA] Adv[+WH] Verb Not Aux S ka                	
44542	Q  	O1[+WA] Adv[+WH] O2 Verb Not Aux S ka             	
44544	Q  	O1[+WA] Adv[+WH] O3 P Verb Not Aux S ka           	
44546	Q  	O1[+WA] Adv[+WH] O3 P O2 Verb Not Aux S ka        	
44548	Q  	O1[+WA] O2[+WH] Verb Not Aux S ka                 	
44550	Q  	O1[+WA] O3 P O2[+WH] Verb Not Aux S ka            	
44552	Q  	O1[+WA] O3[+WH] P Verb Not Aux S ka               	
44554	Q  	O1[+WA] O3[+WH] P O2 Verb Not Aux S ka            	
44556	Q  	O1[+WA] Adv O2[+WH] Verb Never Aux S ka           	
44558	Q  	O1[+WA] Adv O3 P O2[+WH] Verb Never Aux S ka      	
44560	Q  	O1[+WA] Adv O3[+WH] P Verb Never Aux S ka         	
44562	Q  	O1[+WA] Adv O3[+WH] P O2 Verb Never Aux S ka      	
44564	Q  	O1[+WA] Adv[+WH] Verb Never Aux S ka              	
44566	Q  	O1[+WA] Adv[+WH] O2 Verb Never Aux S ka           	
44568	Q  	O1[+WA] Adv[+WH] O3 P Verb Never Aux S ka         	
44570	Q  	O1[+WA] Adv[+WH] O3 P O2 Verb Never Aux S ka      	
44572	Q  	O1[+WA] O2[+WH] Verb Never Aux S ka               	
44574	Q  	O1[+WA] O3 P O2[+WH] Verb Never Aux S ka          	
44576	Q  	O1[+WA] O3[+WH] P Verb Never Aux S ka             	
44578	Q  	O1[+WA] O3[+WH] P O2 Verb Never Aux S ka          	
44676	Q  	O1[+WA] Adv O2[+WH] Verb Aux S ka                 	
44678	Q  	O1[+WA] Adv O3 P O2[+WH] Verb Aux S ka            	
