BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
47424	Q  	O1[+WH] Aux S Not Verb O2                         	
47425	Q  	O1[+WH] Aux S Not Verb P O3 Adv                   	
47426	Q  	O1[+WH] Aux S Not Verb P O3                       	
47427	Q  	O1[+WH] Aux S Not Verb                            	
47428	Q  	O1[+WH] Aux S Verb Adv                            	
47429	Q  	O1[+WH] Aux S Verb O2 Adv                         	
47430	Q  	O1[+WH] Aux S Verb O2 P O3 Adv                    	
47431	Q  	O1[+WH] Aux S Verb O2 P O3                        	
47432	Q  	O1[+WH] Aux S Verb O2                             	
47433	Q  	O1[+WH] Aux S Verb P O3 Adv                       	
47434	Q  	O1[+WH] Aux S Verb P O3                           	
47435	Q  	O1[+WH] Aux S Verb                                	
55924	Q  	O2[+WH] Aux S Never Verb O1 Adv                   	
55925	Q  	O2[+WH] Aux S Never Verb O1 P O3 Adv              	
55926	Q  	O2[+WH] Aux S Never Verb O1 P O3                  	
55927	Q  	O2[+WH] Aux S Never Verb O1                       	
55928	Q  	O2[+WH] Aux S Not Verb O1 Adv                     	
55929	Q  	O2[+WH] Aux S Not Verb O1 P O3 Adv                	
55930	Q  	O2[+WH] Aux S Not Verb O1 P O3                    	
55931	Q  	O2[+WH] Aux S Not Verb O1                         	
55932	Q  	O2[+WH] Aux S Verb O1 Adv                         	
55933	Q  	O2[+WH] Aux S Verb O1 P O3 Adv                    	
55934	Q  	O2[+WH] Aux S Verb O1 P O3                        	
55935	Q  	O2[+WH] Aux S Verb O1                             	
65220	Q  	O3[+WH] Aux S Never Verb O1 O2 P Adv              	
65221	Q  	O3[+WH] Aux S Never Verb O1 O2 P                  	
65222	Q  	O3[+WH] Aux S Never Verb O1 P Adv                 	
65223	Q  	O3[+WH] Aux S Never Verb O1 P                     	
65224	Q  	O3[+WH] Aux S Never Verb P Adv                    	
65225	Q  	O3[+WH] Aux S Never Verb P                        	
65226	Q  	O3[+WH] Aux S Not Verb O1 O2 P Adv                	
65227	Q  	O3[+WH] Aux S Not Verb O1 O2 P                    	
65228	Q  	O3[+WH] Aux S Not Verb O1 P Adv                   	
65229	Q  	O3[+WH] Aux S Not Verb O1 P                       	
65230	Q  	O3[+WH] Aux S Not Verb P Adv                      	
65231	Q  	O3[+WH] Aux S Not Verb P                          	
65232	Q  	O3[+WH] Aux S Verb O1 O2 P Adv                    	
65233	Q  	O3[+WH] Aux S Verb O1 O2 P                        	
65234	Q  	O3[+WH] Aux S Verb O1 P Adv                       	
65235	Q  	O3[+WH] Aux S Verb O1 P                           	
65236	Q  	O3[+WH] Aux S Verb P Adv                          	
65237	Q  	O3[+WH] Aux S Verb P                              	
77648	Q  	S[+WH] Aux Never Verb Adv                         	
77649	Q  	S[+WH] Aux Never Verb O1 Adv                      	
77650	Q  	S[+WH] Aux Never Verb O1 O2 Adv                   	
77651	Q  	S[+WH] Aux Never Verb O1 O2 P O3 Adv              	
77652	Q  	S[+WH] Aux Never Verb O1 O2 P O3                  	
77653	Q  	S[+WH] Aux Never Verb O1 O2                       	
77654	Q  	S[+WH] Aux Never Verb O1 P O3 Adv                 	
77655	Q  	S[+WH] Aux Never Verb O1 P O3                     	
77656	Q  	S[+WH] Aux Never Verb O1                          	
77657	Q  	S[+WH] Aux Never Verb P O3 Adv                    	
77658	Q  	S[+WH] Aux Never Verb P O3                        	
77659	Q  	S[+WH] Aux Never Verb                             	
77660	Q  	S[+WH] Aux Not Verb Adv                           	
77661	Q  	S[+WH] Aux Not Verb O1 Adv                        	
77662	Q  	S[+WH] Aux Not Verb O1 O2 Adv                     	
77663	Q  	S[+WH] Aux Not Verb O1 O2 P O3 Adv                	
77664	Q  	S[+WH] Aux Not Verb O1 O2 P O3                    	
77665	Q  	S[+WH] Aux Not Verb O1 O2                         	
77666	Q  	S[+WH] Aux Not Verb O1 P O3 Adv                   	
77667	Q  	S[+WH] Aux Not Verb O1 P O3                       	
77668	Q  	S[+WH] Aux Not Verb O1                            	
77669	Q  	S[+WH] Aux Not Verb P O3 Adv                      	
77670	Q  	S[+WH] Aux Not Verb P O3                          	
77671	Q  	S[+WH] Aux Not Verb                               	
77672	Q  	S[+WH] Aux Verb Adv                               	
77673	Q  	S[+WH] Aux Verb O1 Adv                            	
77674	Q  	S[+WH] Aux Verb O1 O2 Adv                         	
77675	Q  	S[+WH] Aux Verb O1 O2 P O3 Adv                    	
77676	Q  	S[+WH] Aux Verb O1 O2 P O3                        	
77677	Q  	S[+WH] Aux Verb O1 O2                             	
77678	Q  	S[+WH] Aux Verb O1 P O3 Adv                       	
77679	Q  	S[+WH] Aux Verb O1 P O3                           	
77680	Q  	S[+WH] Aux Verb O1                                	
77681	Q  	S[+WH] Aux Verb P O3 Adv                          	
77682	Q  	S[+WH] Aux Verb P O3                              	
77683	Q  	S[+WH] Aux Verb                                   	
